league,year,name,team,pa,obp,slg,iso,so,bb,woba,wrc_plus,z_obp,z_iso,combo_z,combo_p33,combo_p25,combo_p40
KBO,2021,정은원,한화,608,0.407,0.384,0.101010101010101,105,105,0.2065538971807628,8.468252154566466,1.2227937948521685,-0.7007143720665394,-0.7007143720665394,False,False,False
KBO,2021,나성범,NC,623,0.335,0.509,0.2280701754385964,155,38,0.2251256038647343,20.65863065126921,-1.0432797391732018,1.4135365836676657,-1.0432797391732018,False,False,False
KBO,2021,마차도,롯데,539,0.359,0.361,0.0815450643776824,65,58,0.1873576779026217,-4.132053390222614,-0.28792189449807903,-1.0246081875597157,-1.0246081875597157,False,False,False
KBO,2021,한유섬,SSG,519,0.373,0.534,0.255656108597285,96,60,0.2378365758754863,29.002051237692516,0.15270351489574369,1.8725602841330669,0.15270351489574369,False,False,True
KBO,2021,허경민,두산,518,0.338,0.365,0.0876068376068376,35,36,0.1841186770428015,-6.258117898145915,-0.9488600085888114,-0.9237416494215074,-0.9488600085888114,False,False,False
KBO,2021,최정,SSG,555,0.41,0.562,0.2844036697247706,102,84,0.2506715063520871,37.42683756191685,1.3172135254365591,2.3509132117713896,1.3172135254365591,True,True,True
KBO,2021,채은성,LG,448,0.359,0.452,0.1757105943152454,80,38,0.2128991031390134,12.63321467453598,-0.28792189449807903,0.5422849735154461,-0.28792189449807903,False,False,False
KBO,2021,최재훈,한화,467,0.405,0.387,0.112,68,72,0.2076869565217391,9.211986829077915,1.15984730779591,-0.517844933752993,-0.517844933752993,False,False,False
KBO,2021,김재환,두산,566,0.382,0.501,0.2273684210526315,127,81,0.2317140319715807,24.98324301390632,0.43596270664891545,1.4018595491004309,0.43596270664891545,True,False,True
KBO,2021,양석환,두산,546,0.337,0.49,0.2172131147540983,136,42,0.2189503676470588,16.605235447425006,-0.9803332521169416,1.2328775447688467,-0.9803332521169416,False,False,False
KBO,2021,하주석,한화,594,0.346,0.392,0.12,135,51,0.1944132653061224,0.4992000766153976,-0.6970740603637715,-0.3847267396865147,-0.6970740603637715,False,False,False
KBO,2021,알테어,NC,565,0.358,0.514,0.241869918699187,156,57,0.2302486678507992,24.021385088203058,-0.3193951380262092,1.6431611963465254,-0.3193951380262092,False,False,False
KBO,2021,노시환,한화,458,0.386,0.466,0.1947368421052631,107,73,0.2214097995545657,18.219594663277388,0.5618556807614362,0.8588774417240062,0.5618556807614362,True,True,True
KBO,2021,심우준,KT,460,0.323,0.371,0.1031941031941031,65,32,0.1819086859688196,-7.7087453566026864,-1.4209586615107643,-0.6643730687450887,-1.4209586615107643,False,False,False
KBO,2021,한동희,롯데,496,0.364,0.443,0.1768867924528301,95,61,0.2134574898785424,12.99973703127088,-0.13055567685742805,0.5618566450078997,-0.13055567685742805,False,False,False
KBO,2021,추신수,SSG,580,0.409,0.451,0.1865509761388286,123,103,0.2245850694444444,20.3038264705896,1.285740281908429,0.7226664799337551,0.7226664799337551,True,False,True
KBO,2021,최지훈,SSG,534,0.342,0.362,0.0997830802603036,71,51,0.184254752851711,-6.168798394931768,-0.8229670344762906,-0.7211317203534302,-0.8229670344762906,False,False,False
